id,district_name,yield
510,Haridwar,3.27
511,Nainital,3.51
512,Pauri garhwal,1.68
513,Pithoragarh,1.57
514,Rudra prayag,1.24
515,Tehri garhwal,2.05
516,Udam singh nagar,4.16
517,Uttar kashi,1.89
518,24 paraganas north,3.29
519,24 paraganas south,3.29
520,Alipurduar,3.03
521,Bankura,2.25
522,Birbhum,3.04
523,Coochbehar,3.03
524,Darjeeling,3.03
525,Dinajpur dakshin,3.51
526,Dinajpur uttar,2.74
527,Hooghly,3.0
528,Howrah,2.5
529,Jalpaiguri,3.03
530,Jhargram,2.43
531,Maldah,3.28
532,Medinipur west,2.43
533,Murshidabad,2.79
534,Nadia,3.21
535,Paschim bardhaman,2.33
536,Purba bardhaman,2.81
537,Purulia,2.45
